family	scope	job_id	run_id	state
residual-similarity	cross_L6_T0	44216591	residual_cross_L6_T0	submitted
residual-similarity	cross_L6_T1	44216593	residual_cross_L6_T1	submitted
residual-similarity	cross_L6_T2	44216594	residual_cross_L6_T2	submitted
residual-similarity	cross_L12_T0	44216595	residual_cross_L12_T0	submitted
residual-similarity	cross_L12_T1	44216596	residual_cross_L12_T1	submitted
residual-similarity	cross_L12_T2	44216598	residual_cross_L12_T2	submitted
residual-similarity	cross_L18_T0	44216599	residual_cross_L18_T0	submitted
residual-similarity	cross_L18_T1	44216600	residual_cross_L18_T1	submitted
residual-similarity	cross_L18_T2	44216601	residual_cross_L18_T2	submitted
residual-similarity	within_layer_sd_vae	44216603	residual_layer_sd_vae	submitted
residual-similarity	within_time_sd_vae	44216604	residual_time_sd_vae	submitted
residual-similarity	within_layer_repa_e	44216606	residual_layer_repa_e	submitted
residual-similarity	within_time_repa_e	44216608	residual_time_repa_e	submitted
residual-similarity	within_layer_eq_vae	44216609	residual_layer_eq_vae	submitted
residual-similarity	within_time_eq_vae	44216611	residual_time_eq_vae	submitted
probe-transfer	L6_T0	44216612	probe_transfer_L6_T0	submitted
probe-transfer	L6_T1	44216614	probe_transfer_L6_T1	submitted
probe-transfer	L6_T2	44216615	probe_transfer_L6_T2	submitted
probe-transfer	L12_T0	44216616	probe_transfer_L12_T0	submitted
probe-transfer	L12_T1	44216618	probe_transfer_L12_T1	submitted
probe-transfer	L12_T2	44216619	probe_transfer_L12_T2	submitted
probe-transfer	L18_T0	44216620	probe_transfer_L18_T0	submitted
probe-transfer	L18_T1	44216622	probe_transfer_L18_T1	submitted
probe-transfer	L18_T2	44216623	probe_transfer_L18_T2	submitted
activation-proxy	L6_T0	44216624	activation_proxy_L6_T0	submitted
activation-proxy	L6_T1	44216627	activation_proxy_L6_T1	submitted
activation-proxy	L6_T2	44216628	activation_proxy_L6_T2	submitted
activation-proxy	L12_T0	44216629	activation_proxy_L12_T0	submitted
activation-proxy	L12_T1	44216630	activation_proxy_L12_T1	submitted
activation-proxy	L12_T2	44216631	activation_proxy_L12_T2	submitted
activation-proxy	L18_T0	44216633	activation_proxy_L18_T0	submitted
activation-proxy	L18_T1	44216634	activation_proxy_L18_T1	submitted
activation-proxy	L18_T2	44216635	activation_proxy_L18_T2	submitted
